Number,Brand,Type
2609,McCalls,Doll
1391,Simplicity,Doll
1392,Simplicity,Doll
1245,Simplicity,Doll
1134,Simplicity,Doll
6981,McCalls,Doll
8111,Simplicity,Doll
1217,Simplicity,Doll
1581,Simplicity,Doll
1219,Simplicity,Doll
1179,Simplicity,Doll
8555,McCalls,Doll
3750,Simplicity,Top
1425,Simplicity,Top
2692,Simplicity,Dress
2308,Simplicity,Dress
3964,Simplicity,Dress
7012,Burda,Dress
7352,Burda,Dress
7517,Burda,Dress
5853,Butterick,Dress
6356,McCalls,Top
1896,Simplicity,Dress
2254,Simplicity,Top
3865,Kwik Sew,Top
5644,Butterick,Top
1652,Simplicity,Dress
1586,Simplicity,Dress
5030,Butterick,Dress
5672,Butterick,Dress
5846,Butterick,Dress
4443,Butterick,Dress
5546,See & Sew,Dress
1909,Style,Dress
6841,Butterick (Classic),Dress
6352,New Look (Classic),Dress
6045,New Look,Dress
2219,Simplicity,Dress
7013,Burda,Top
7016,McCalls,Top
9172,McCalls (Classic),Dress
6697,New Look (Classic),Dress
6697,New Look,Dress
5476,See & Sew,Dress
9518,Simplicity (Classic),Dress
2460,McCalls,Dress
1128,Simplicity,Crafts
5108,McCalls,Mens
3389,Kwik Sew,Mens
7468,Burda,Costume
267,McCalls,Costume
7421,McCalls,Costume
7339,McCalls,Costume
5970,Butterick,Costume
5662,Butterick,Corset
6114,Butterick,Costume
6151,Butterick,Corset
791,Simplicity,Costume
2331,Simplicity,Costume
2777,Simplicity,Costume
8199,Simplicity,Costume
5840,Simplicity,Costume
1345,Simplicity,Corset
1183,Simplicity,Corset
6939,New Look,Top
6781,New Look,Top
6871,New Look,Top
2556,Simplicity,Top
2223,Simplicity,Top
2812,Simplicity,Coat
5497,Butterick,Top
5478,Butterick (Classic),Multiple
4146,McCalls (Classic),Top
7679,Simplicity (Classic),Multiple
72,Easy Sew Designs,Doll
9449,McCalls (Classic),Doll
6989,McCalls (Classic),Skirt
1095,Simplicity,Costume
6608,Burda,Dress
7186,Burda,Lingere
6583,Burda,Dress
7324,McCalls,Top
6960,McCalls,Top
6751,McCalls,Top
6996,McCalls,Jacket
5400,McCalls,Swimwear
7168,McCalls,Swimwear
4157,Kwik Sew,Top
670,Kwik Sew,Top
4041,Kwik Sew,Top
3636,Kwik Sew,Pants
3660,Kwik Sew,Workout
6216,New Look,Multiple
1317,Simplicity,Top
8137,Simplicity,Multiple
1111,Simplicity,Workout
1426,Simplicity,Swimwear
8212,Simplicity,Workout
447,New Look,Top
3533,Kwik Sew,Dress
3675,Kwik Sew,Dress
6840,Burda,Top
5495,Butterick,Top
7382,McCalls,Dress
6954,McCalls,Dress
7118,McCalls,Dress
9552,McCalls,Dress
6359,McCalls,Top
6650,McCalls,Top
7051,McCalls,Top
6563,McCalls,Top
1613,Simplicity,Top
1716,Simplicity,Top
3684,Simplicity,Top
3956,Simplicity,Top
1424,Simplicity,Top
2447,Simplicity,Top
1593,Simplicity,Multiple
1961,Simplicity,Jacket
6774,New Look,Dress
6119,New Look,Dress
6207,New Look,Dress
311,Simplicity,Dress
1881,Simplicity,Dress
7215,McCalls,Top
7155,McCalls,Top
6698,McCalls,Dress
7350,McCalls,Dress
6505,McCalls,Dress
6599,McCalls,Dress
6558,McCalls,Dress
6518,McCalls,Dress
6031,McCalls,Dress
6504,McCalls,Dress
8888,Vogue,Lingere
3645,Kwik Sew,Lingere
3554,Kwik Sew,Lingere
2589,Kwik Sew,Lingere
3167,Kwik Sew,Lingere
3115,Kwik Sew,Workout
6031,Butterick,Lingere
8228,Simplicity,Lingere
8229,Simplicity,Lingere
1201,Simplicity,Skirt
2582,Simplicity,Dress
7257,Burda,Dress
6570,McCalls,Multiple
8882,Vogue,Skirt
6899,New Look,Skirt
7230,Burda,Workout
2058,Simplicity,Skirt
2449,Simplicity,Skirt
2562,Simplicity,Pants
2475,Simplicity,Skirt
1164,Simplicity,Skirt
3850,Simplicity,Pants
5325,Butterick,Formal
9140,Simplicity,Baby
2165,Simplicity,Baby
2356,Simplicity,Girls
2989,Simplicity,Girls
2065,Simplicity,Girls
2466,Simplicity,Girls
3893,Simplicity,Top
1605,Simplicity,Sleep
3758,Simplicity,Costume
4940,Simplicity,Costume
2573,Simplicity,Costume
5582,Simplicity,Costume
864,Simplicity,Costume
1773,Simplicity,Costume
2941,Simplicity,Costume
2159,Simplicity,Costume
2589,Simplicity,Costume
3782,Simplicity,Costume
6698,Butterick,Costume
2172,Simplicity,Costume
224,Simplicity,Costume
223,Simplicity,Costume
2355,Simplicity,Costume
1345,Simplicity,Costume
1558,Simplicity,Costume
3597,McCalls,Costume
3789,McCalls,Costume
6775,McCalls,Costume
6911,McCalls,Costume
7171,Burda,Costume
1246,Simplicity,Costume
1487,Simplicity,Costume
1550,Simplicity,Costume
4669,Butterick,Costume
5371,Butterick,Costume
6480,New Look,Corset
4260,Butterick (Classic),Costume
9103,Simplicity (Classic),Costume
5741,Simplicity (Classic),Costume
5010,Simplicity (Classic),Costume
7642,Simplicity (Classic),Costume
7412,McCalls (Classic),Costume
5272,McCalls (Classic),Costume
4585,McCalls (Classic),Costume
2622,McCalls (Classic),Costume
200,McCalls (Classic),Costume
8087,McCalls (Classic),Crafts
5613,McCalls (Classic),Kids Costume
6154,McCalls (Classic),Kids Costume
7231,McCalls (Classic),Kids Costume
3886,McCalls (Classic),Kids Costume
418,Simplicity (Classic),Kids Costume
640,Simplicity (Classic),Kids Costume
8903,Simplicity (Classic),Kids Costume
5713,McCalls (Classic),Crafts
5593,Butterick (Classic),Kids Costume
4404,McCalls (Classic),Kids Costume
6810,McCalls (Classic),Kids Costume
9516,Simplicity (Classic),Kids Costume
7978,Simplicity (Classic),Kids Costume
9236,Simplicity (Classic),Kids Costume
8581,Simplicity (Classic),Kids Costume
6672,Simplicity (Classic),Kids Costume
